City_ID,City,Country,Date,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
93,Narsaq,GL,2022-02-01 13:50:13,-46.05,60.9167,7.14,90,85,4.56
94,Hami,CN,2022-02-01 13:50:14,93.45,42.8,24.04,33,8,1.59
95,Geraldton,AU,2022-02-01 13:50:14,114.6,-28.7667,75.61,78,96,9.22
96,Portland,US,2022-02-01 13:50:14,-122.6762,45.5234,39.16,94,40,1.01
97,Port Hedland,AU,2022-02-01 13:50:15,118.5667,-20.3167,80.65,89,100,0.0
98,Talwandi Bhai,IN,2022-02-01 13:50:15,74.9333,30.85,53.82,67,0,5.91
99,Qaanaaq,GL,2022-02-01 13:50:16,-69.3632,77.484,-13.4,92,100,8.05
100,Praia Da Vitoria,PT,2022-02-01 13:50:16,-27.0667,38.7333,63.75,77,40,17.38
101,San Patricio,US,2022-02-01 13:50:17,-97.5169,28.017,60.89,80,100,7.85
102,Sopelana,ES,2022-02-01 13:50:17,-2.9831,43.3789,54.55,77,75,1.99
103,Mareeba,AU,2022-02-01 13:50:17,145.4333,-17.0,75.43,95,96,2.28
104,Tasiilaq,GL,2022-02-01 13:50:18,-37.6368,65.6145,-0.24,77,91,4.23
105,Clyde River,CA,2022-02-01 13:50:01,-68.5914,70.4692,-21.77,63,100,4.61
106,Coihaique,CL,2022-02-01 13:46:35,-72.0662,-45.5752,63.21,55,75,8.05
107,Faanui,PF,2022-02-01 13:50:19,-151.75,-16.4833,80.64,76,9,19.39
108,Fougamou,GA,2022-02-01 13:50:19,10.5838,-1.2154,91.94,48,66,3.27
109,Keti Bandar,PK,2022-02-01 13:50:20,67.4497,24.1447,74.44,68,0,10.11
110,Waddan,LY,2022-02-01 13:50:20,16.139,29.1614,67.12,14,55,19.6
111,Fortuna,US,2022-02-01 13:48:51,-124.1573,40.5982,38.93,82,0,3.0
112,Ugoofaaru,MV,2022-02-01 13:50:21,73.0,5.6667,82.98,76,17,14.34
113,Chuy,UY,2022-02-01 13:50:21,-53.4616,-33.6971,72.55,42,0,1.59
114,Hermanus,ZA,2022-02-01 13:50:13,19.2345,-34.4187,88.9,74,0,7.16
115,Mislinja,SI,2022-02-01 13:50:22,15.1956,46.4411,41.16,72,54,4.81
116,Vila Velha,BR,2022-02-01 13:50:22,-40.2925,-20.3297,86.95,73,0,8.01
117,Kodiak,US,2022-02-01 13:50:23,-152.4072,57.79,35.11,93,100,16.11
118,Tuktoyaktuk,CA,2022-02-01 13:50:23,-133.0374,69.4541,-9.09,99,100,6.11
119,Necochea,AR,2022-02-01 13:49:42,-58.7368,-38.5473,80.04,30,0,22.93
120,Yellowknife,CA,2022-02-01 13:50:24,-114.3525,62.456,-24.45,75,20,4.0
121,Nizhniy Baskunchak,RU,2022-02-01 13:50:24,46.8311,48.2198,32.18,96,100,8.7
122,Vredendal,ZA,2022-02-01 13:50:24,18.5012,-31.6683,82.99,53,0,17.22
123,Chicama,PE,2022-02-01 13:50:25,-79.1469,-7.8447,63.14,65,89,5.37
124,Rizhao,CN,2022-02-01 13:50:25,119.4553,35.4275,30.85,43,100,6.08
125,Hvolsvollur,IS,2022-02-01 13:50:25,-20.2243,63.7533,32.67,65,28,5.93
126,Douentza,ML,2022-02-01 13:50:26,-2.9517,14.9951,86.2,5,100,13.96
127,Hithadhoo,MV,2022-02-01 13:50:26,73.0833,-0.6,83.07,71,21,12.91
128,Mweka,CD,2022-02-01 13:50:26,21.5667,-4.85,91.17,34,72,2.57
129,Hasaki,JP,2022-02-01 13:47:40,140.8333,35.7333,37.8,49,2,16.44
130,Bobon,PH,2022-02-01 13:50:27,124.5636,12.5246,76.51,92,100,10.76
131,Bredasdorp,ZA,2022-02-01 13:50:27,20.0403,-34.5322,84.27,44,1,13.22
132,Barrow,US,2022-02-01 13:50:28,-156.7887,71.2906,-14.78,76,100,3.44
133,Unirea,RO,2022-02-01 13:51:28,23.1833,44.15,47.23,44,100,2.91
134,Tiarei,PF,2022-02-01 13:51:28,-149.3333,-17.5333,75.22,77,12,19.04
135,San Blas,MX,2022-02-01 13:51:29,-105.2667,21.5167,62.26,60,0,3.24
136,Dikson,RU,2022-02-01 13:51:29,80.5464,73.5069,1.22,91,100,18.99
137,Zahir Pir,PK,2022-02-01 13:51:29,70.524,28.8124,65.3,22,0,2.01
138,Bonavista,CA,2022-02-01 13:51:30,-53.1147,48.6499,26.11,58,6,20.42
139,La Palma,US,2022-02-01 13:51:30,-118.0467,33.8464,55.54,91,100,1.01
140,Taksimo,RU,2022-02-01 13:51:30,114.8794,56.3444,-15.3,95,90,1.97
141,Dunedin,NZ,2022-02-01 13:47:43,170.5036,-45.8742,60.37,95,99,11.21
142,Nome,US,2022-02-01 13:51:31,-165.4064,64.5011,21.27,49,0,23.02
143,Diffa,NE,2022-02-01 13:51:31,12.6113,13.3154,77.68,15,4,10.96
144,Nanhai,CN,2022-02-01 13:51:31,111.7784,30.1282,43.74,60,100,8.88
145,Arraial Do Cabo,BR,2022-02-01 13:51:32,-42.0278,-22.9661,85.96,66,75,8.05
146,Aasiaat,GL,2022-02-01 13:51:32,-52.8699,68.7098,1.63,96,100,6.11
147,Cockburn Town,TC,2022-02-01 13:47:47,-71.1419,21.4612,75.38,69,88,18.45
148,Beringovskiy,RU,2022-02-01 13:51:33,179.3167,63.05,9.43,77,100,10.13
149,Bengkulu,ID,2022-02-01 13:51:33,102.2655,-3.8004,77.25,87,100,5.79
150,Xai-Xai,MZ,2022-02-01 13:51:33,33.6442,-25.0519,85.35,57,1,12.86
151,Espoo,FI,2022-02-01 13:50:00,24.6667,60.25,21.0,92,20,4.61
152,Kindu,CD,2022-02-01 13:51:34,25.95,-2.95,81.97,59,100,2.35
153,Margasari,ID,2022-02-01 13:51:34,109.0167,-7.1,76.57,94,100,2.98
154,Filingue,NE,2022-02-01 13:51:35,3.3168,14.3521,83.73,5,0,11.65
155,Awjilah,LY,2022-02-01 13:51:35,21.2869,29.1081,65.12,27,72,17.98
156,Qaqortoq,GL,2022-02-01 13:51:35,-46.0333,60.7167,8.04,91,79,2.62
157,Avera,US,2022-02-01 13:48:48,-82.5271,33.194,41.92,78,0,9.46
158,East London,ZA,2022-02-01 13:51:25,27.9116,-33.0153,81.54,74,0,9.22
