City_ID,City,Country,Max Temp,current_description,Lat,Lng,Hotel Name
392,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
401,Afonso Bezerra,BR,77.41,scattered clouds,-5.4983,-36.5056,Pousada Shammah
406,Parkes,AU,80.35,scattered clouds,-33.1333,148.1833,Station Motel
407,Horana,LK,80.42,overcast clouds,6.7166,80.0619,Pinidiya Holiday Resort
409,Townsville,AU,85.08,broken clouds,-19.25,146.8,Rydges Southbank Townsville
412,Mahibadhoo,MV,81.43,scattered clouds,3.7833,72.9667,Omadhoo Inn
414,Hobyo,SO,75.9,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
425,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
428,Lubao,PH,87.15,overcast clouds,14.9167,120.55,Hacienda Gracia
429,Micheweni,TZ,80.49,overcast clouds,-4.9667,39.8333,
443,Kawalu,ID,80.44,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
445,Lorengau,PG,83.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
448,Ugoofaaru,MV,81.16,overcast clouds,5.6667,73.0,Ungoofaaru Inn
449,Katobu,ID,89.73,broken clouds,-4.9408,122.5276,La Ode Husein
453,Black River,JM,75.2,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
458,Vaitape,PF,80.26,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
461,Popondetta,PG,87.87,overcast clouds,-8.7537,148.2534,Timos Transit House
465,Poum,NC,78.85,light rain,-20.2333,164.0167,
468,Sokoni,TZ,80.29,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
475,Don Sak,TH,85.95,broken clouds,9.3168,99.6918,Sea Sun Moon Hostel
480,Panguna,PG,82.0,light rain,-6.3164,155.4848,
481,Launceston,AU,77.61,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
482,Pandan,PH,81.93,scattered clouds,14.0453,124.1694,Bonifacio Lodge
487,Finschhafen,PG,84.4,overcast clouds,-6.6024,147.8681,Cossam Guest House
489,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
493,Imbituba,BR,75.09,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
494,Kirakira,SB,85.12,overcast clouds,-10.4544,161.9205,SanBiz Lodge
504,Acarau,BR,77.47,clear sky,-2.8856,-40.12,castelo pizzaria
507,Calamar,CO,78.75,scattered clouds,10.2511,-74.9146,Hostal Katyalex
516,Broken Hill,AU,80.31,broken clouds,-31.95,141.4333,Royal Exchange Hotel
520,Simbahan,PH,81.81,overcast clouds,6.3032,120.5836,
522,Mayumba,GA,76.17,overcast clouds,-3.432,10.6554,LIKWALE LODGE
531,Waiuku,NZ,76.66,light rain,-37.25,174.75,Waiuku Lodge Motel
532,Thinadhoo,MV,81.95,few clouds,0.5333,72.9333,
545,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
564,Trairi,BR,76.39,few clouds,-3.2778,-39.2689,janelas do mar
567,Sinjai,ID,86.11,heavy intensity rain,-5.1241,120.253,Wisma Sandika
570,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
582,Iracoubo,GF,76.62,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
584,Buala,SB,86.27,light rain,-8.145,159.5921,Maringe Lagoon Lodge
590,Tadine,NC,84.09,light rain,-21.55,167.8833,
591,Ambulu,ID,86.47,clear sky,-8.345,113.6058,Hotel Ambulu Jember
593,Axim,GH,78.53,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
607,Payo,ID,78.48,overcast clouds,-3.7508,103.6372,Mess keban agung
614,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
616,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
629,Tibiao,PH,83.77,overcast clouds,11.2915,122.0354,Kasa Raya Inn
631,Pochutla,MX,76.05,clear sky,15.7432,-96.4661,Hotel Posada San Jose
633,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
635,Samarai,PG,84.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
637,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
646,Carutapera,BR,75.45,light rain,-1.195,-46.02,Lidera
650,Vao,NC,80.73,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
654,Edd,ER,75.6,overcast clouds,13.9297,41.6925,
664,Totness,SR,76.15,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
666,Puerto Ayacucho,VE,77.34,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
671,Sandakan,MY,80.28,thunderstorm,5.8402,118.1179,Hotel Sandakan
675,Tuburan,PH,87.89,broken clouds,6.6439,122.2736,GT Site
678,Formosa,AR,75.18,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
