City_ID,City,Country,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,current_description
167,Buraydah,SA,43.975,26.326,43.25,54,0,6.4,clear sky
168,Ancud,CL,-73.8203,-41.8697,55.42,86,83,2.59,broken clouds
169,Kavieng,PG,150.7967,-2.5744,83.82,73,100,7.92,overcast clouds
170,Longyearbyen,SJ,15.6401,78.2186,10.24,72,20,20.71,few clouds
171,Stranda,NO,6.9358,62.3096,37.78,94,95,10.89,light snow
172,Isangel,VU,169.2667,-19.55,87.91,84,75,13.8,broken clouds
173,Hirara,JP,125.2833,24.8,64.67,55,75,18.41,broken clouds
174,Rio Grande,BR,-52.0986,-32.035,69.94,70,0,12.73,clear sky
175,Fairbanks,US,-147.7164,64.8378,9.61,81,100,3.44,light snow
176,Meulaboh,ID,96.1285,4.1363,81.34,70,92,5.37,overcast clouds
177,Shahr-E Babak,IR,55.1186,30.1165,36.1,58,0,2.44,clear sky
178,Narsaq,GL,-46.05,60.9167,1.62,71,100,5.37,overcast clouds
179,Karratha,AU,116.8463,-20.7377,92.7,52,52,14.61,broken clouds
180,Sfantu Gheorghe,RO,25.7833,45.8667,30.92,96,61,3.76,broken clouds
181,Anadyr,RU,177.4833,64.75,-5.3,71,0,2.24,clear sky
182,Leningradskiy,RU,178.4167,69.3833,-21.62,97,18,3.04,few clouds
183,Fazendas De Almeirim,PT,-8.5693,39.1755,52.29,64,0,5.44,clear sky
184,Kulykivka,UA,31.6466,51.3735,33.42,91,100,13.78,overcast clouds
185,Sangar,RU,127.4739,63.9242,-28.53,95,100,4.14,overcast clouds
186,Cherskiy,RU,161.3,68.75,-28.55,98,24,0.98,few clouds
187,Rudesheim,DE,7.8167,49.85,43.65,79,100,19.77,overcast clouds
188,Rangapara,IN,92.65,26.8167,58.6,68,5,2.98,clear sky
189,Batagay-Alyta,RU,130.4114,67.8006,-18.44,97,100,2.37,overcast clouds
190,Polewali,ID,119.3435,-3.4324,87.08,66,71,4.5,broken clouds
191,Hedaru,TZ,37.9,-4.5,73.81,69,100,2.98,overcast clouds
192,Labuhan,ID,112.2051,-6.8844,83.8,74,78,11.07,broken clouds
193,San Juan Del Sur,NI,-85.8705,11.2529,77.86,75,4,21.85,clear sky
194,Oksfjord,NO,22.3479,70.2396,31.12,83,76,14.2,broken clouds
195,Berlevag,NO,29.0864,70.8578,24.3,83,56,26.15,broken clouds
196,Tuktoyaktuk,CA,-133.0374,69.4541,-31.0,75,0,9.22,clear sky
197,Solnechnyy,RU,136.6319,50.7214,8.65,86,100,3.02,overcast clouds
198,Sabang,ID,95.3214,5.8933,82.02,74,87,13.96,overcast clouds
199,Gewane,ET,40.6453,10.1664,71.62,76,53,8.61,broken clouds
200,Qaanaaq,GL,-69.3632,77.484,-0.94,96,100,2.91,overcast clouds
201,Ostrovnoy,RU,39.5131,68.0531,14.65,83,100,28.36,overcast clouds
202,Georgetown,MY,100.3354,5.4112,85.93,75,20,4.0,few clouds
203,Zhezkazgan,KZ,67.7144,47.8043,8.58,72,100,17.9,overcast clouds
204,Puerto Ayora,EC,-90.3518,-0.7393,75.54,92,36,3.0,scattered clouds
205,Airai,TL,125.4092,-8.9266,73.54,65,62,2.8,broken clouds
206,San Ignacio,BZ,-89.0714,17.1561,68.14,94,100,11.5,overcast clouds
207,Port Lincoln,AU,135.8667,-34.7333,78.3,48,7,20.8,clear sky
208,Oranjemund,NA,16.4333,-28.55,67.33,78,96,3.13,overcast clouds
209,Sola,VU,167.55,-13.8833,84.87,84,100,3.44,moderate rain
210,Geraldton,AU,114.6,-28.7667,81.01,61,75,16.24,broken clouds
211,Kasangulu,CD,15.1708,-4.5911,76.08,96,98,3.85,overcast clouds
212,Naze,JP,129.4833,28.3667,54.52,64,97,14.25,overcast clouds
213,Jalu,LY,21.5482,29.0331,53.56,51,0,7.09,clear sky
214,Klaksvik,FO,-6.589,62.2266,32.92,83,100,12.1,light snow
215,Torrox,ES,-3.9523,36.7579,56.64,78,17,1.01,few clouds
216,Olafsvik,IS,-23.7142,64.8945,29.95,70,100,30.89,overcast clouds
217,Aguadilla,PR,-67.1541,18.4275,72.64,91,74,3.0,broken clouds
218,Palmer,US,-72.3287,42.1584,17.15,92,7,3.29,clear sky
219,Sauda,NO,6.3542,59.6506,36.68,91,100,15.26,light rain
220,Aizawl,IN,92.7167,23.7333,51.6,72,1,3.44,haze
221,Santarem,BR,-54.7083,-2.4431,75.33,100,40,4.61,scattered clouds
222,Kahului,US,-156.47,20.8947,78.82,71,0,16.11,clear sky
223,Eirunepe,BR,-69.8736,-6.6603,71.74,98,76,0.83,broken clouds
224,Guerrero Negro,MX,-114.0611,27.9769,60.76,55,0,13.04,clear sky
225,Puerto Concordia,CO,-72.7572,2.6221,73.98,86,16,2.57,few clouds
226,Samandag,TR,35.9771,36.0842,37.92,78,74,6.8,broken clouds
227,Harrismith,ZA,29.1295,-28.2728,55.62,94,100,7.11,overcast clouds
228,Sharjah,AE,55.4033,25.3573,69.78,48,0,13.8,clear sky
229,College,US,-147.8028,64.8569,10.8,82,100,4.61,light snow
230,Muroto,JP,134.15,33.2833,46.44,45,74,12.03,broken clouds
231,Deputatskiy,RU,139.9,69.3,-28.41,97,98,3.15,overcast clouds
232,Msanga,TZ,36.0333,-6.05,65.73,85,100,2.39,overcast clouds
233,Tres Arroyos,AR,-60.2798,-38.3739,58.75,55,100,12.93,overcast clouds
234,Zinder,NE,8.9881,13.8072,56.8,17,0,10.22,clear sky
235,Uarini,BR,-65.1083,-2.99,72.84,99,100,0.81,heavy intensity rain
236,Pisco,PE,-76.2167,-13.7,68.05,88,0,4.61,clear sky
237,Hasaki,JP,140.8333,35.7333,48.29,30,0,15.7,clear sky
238,Pak Phanang,TH,100.202,8.3511,89.62,74,42,11.99,scattered clouds
239,Brilon,DE,8.5833,51.4,40.1,88,100,21.32,light rain
240,Tabuk,PH,121.4443,17.4189,69.82,92,100,1.83,overcast clouds
241,Tahta,EG,31.5021,26.7693,48.16,62,0,8.01,clear sky
242,Manacapuru,BR,-60.6206,-3.2997,77.58,91,94,2.3,overcast clouds
243,Clyde River,CA,-68.5914,70.4692,-30.77,68,100,5.75,overcast clouds
244,Asfi,MA,-9.2372,32.2994,56.32,81,42,15.77,scattered clouds
245,Stokmarknes,NO,14.9108,68.5646,35.49,81,88,15.41,light rain
246,Kurilsk,RU,147.8833,45.2333,23.5,87,100,16.04,light snow
247,Tasiilaq,GL,-37.6368,65.6145,14.16,55,95,6.93,overcast clouds
248,Ola,RU,151.2833,59.5833,14.14,70,29,10.4,scattered clouds
249,Svetlyy,RU,20.1347,54.675,37.45,85,100,20.65,overcast clouds
250,Bogalusa,US,-89.8487,30.791,38.7,93,0,0.0,clear sky
251,Zatoka,UA,30.4654,46.0725,34.34,82,40,15.64,scattered clouds
252,Alekseyevka,RU,38.6903,50.6309,19.85,96,100,8.63,light snow
253,Kalmunai,LK,81.8167,7.4167,78.82,67,98,6.11,overcast clouds
254,Melo,UY,-54.1833,-32.3667,64.53,83,2,9.62,clear sky
255,Cap Malheureux,MU,57.6142,-19.9842,81.46,74,100,10.0,overcast clouds
256,Salon,IN,81.45,26.0333,54.28,76,0,3.89,clear sky
257,Tuatapere,NZ,167.6833,-46.1333,58.82,48,33,7.47,scattered clouds
258,Torbat-E Jam,IR,60.6225,35.244,39.9,73,16,6.35,few clouds
259,Sorland,NO,12.6934,67.667,37.22,80,76,23.22,broken clouds
260,Kutum,SD,24.6667,14.2,47.88,26,97,9.69,overcast clouds
261,Vanavara,RU,102.2797,60.34,13.03,92,98,9.4,overcast clouds
262,Mount Isa,AU,139.5,-20.7333,89.37,33,75,9.22,broken clouds
263,Harper,LR,-7.7169,4.375,78.49,87,39,5.19,light rain
264,Albina,SR,-54.05,5.5,73.0,98,100,1.83,overcast clouds
265,Kozlovka,RU,48.2492,55.8428,23.52,98,100,3.04,overcast clouds
266,Abha,SA,42.5053,18.2164,48.45,76,0,0.0,clear sky
267,Okha,RU,142.9478,53.5739,4.84,87,100,19.98,overcast clouds
268,Merritt Island,US,-80.672,28.5392,61.99,84,100,8.05,overcast clouds
269,Ucluelet,CA,-125.5528,48.9329,45.09,91,100,3.91,overcast clouds
270,Houma,US,-90.7195,29.5958,44.01,73,0,5.14,clear sky
271,Palembang,ID,104.7458,-2.9167,82.49,74,40,12.66,scattered clouds
272,Pitimbu,BR,-34.8086,-7.4706,77.59,73,55,8.43,broken clouds
273,Nikolskoye,RU,30.7861,59.7035,27.72,97,100,4.85,overcast clouds
274,Babstovo,RU,132.4833,48.1167,1.22,83,89,3.98,overcast clouds
275,Ca Mau,VN,105.15,9.1769,87.31,47,17,9.4,few clouds
276,Asau,RO,26.4,46.4333,28.4,92,28,7.11,scattered clouds
277,Promyshlennyy,RU,63.9167,67.5833,-16.78,100,100,4.16,overcast clouds
278,Arroyo,ES,-4.7969,41.6096,32.59,84,0,9.22,clear sky
279,Matara,LK,80.5353,5.9485,77.86,72,24,8.5,few clouds
280,Egvekinot,RU,-179.1667,66.3167,-10.41,87,6,9.84,clear sky
281,Sterling,US,-77.4286,39.0062,27.34,66,0,1.99,clear sky
282,Manzhouli,CN,117.4333,49.6,3.36,80,95,7.56,overcast clouds
283,Alcudia,ES,3.1214,39.8532,53.2,79,100,3.71,overcast clouds
284,Umm Kaddadah,SD,26.6876,13.6017,52.95,29,69,17.18,broken clouds
285,Muli,MV,73.5667,2.9167,81.52,67,13,7.67,few clouds
286,Fairburn,US,-84.581,33.5671,35.56,65,0,4.61,clear sky
287,Holme,DK,10.1725,56.1138,42.64,92,100,14.2,light rain
288,Ust-Shonosha,RU,41.343,61.1531,8.38,97,98,4.65,overcast clouds
289,Zhuhai,CN,113.5678,22.2769,64.78,72,20,13.8,few clouds
290,Yongan,CN,113.6871,39.6957,21.11,30,100,3.96,overcast clouds
291,Havelock,US,-76.9013,34.8791,37.92,75,3,4.0,clear sky
292,Nelson Bay,AU,152.15,-32.7167,76.75,62,69,5.01,broken clouds
293,Castelo Do Piaui,BR,-41.5525,-5.3222,74.28,81,57,3.31,broken clouds
294,Moerai,PF,-151.3333,-22.4333,79.75,75,97,15.37,light rain
295,Ormara,PK,64.6357,25.2088,70.61,69,13,4.9,few clouds
296,San Jose,US,-121.895,37.3394,57.97,59,20,0.0,few clouds
297,Raga,SS,25.678,8.4596,65.25,19,100,7.16,overcast clouds
298,Chester,US,-75.8749,40.1254,20.62,80,0,1.01,clear sky
299,Kirkwall,GB,-2.9587,58.9848,34.14,86,75,16.11,broken clouds
300,Vung Tau,VN,107.0843,10.346,80.33,61,100,5.95,overcast clouds
301,Namibe,AO,12.1522,-15.1961,71.87,67,90,8.34,overcast clouds
302,Jacksonville,US,-81.6556,30.3322,53.6,85,100,1.99,overcast clouds
303,Sambava,MG,50.1667,-14.2667,74.28,86,71,4.36,broken clouds
304,Port Hedland,AU,118.5667,-20.3167,91.45,66,72,13.8,broken clouds
305,Nortelandia,BR,-56.8028,-14.4547,75.47,88,89,1.9,overcast clouds
306,Port Hawkesbury,CA,-61.3485,45.6169,19.18,87,100,24.16,overcast clouds
307,Kichera,RU,110.0997,55.9375,9.72,94,100,3.96,light snow
308,Korla,CN,86.1469,41.7597,24.3,41,97,11.21,overcast clouds
309,Ihosy,MG,46.1167,-22.4,71.1,94,100,29.17,moderate rain
310,Porto Novo,BJ,2.6036,6.4965,80.42,91,2,2.55,clear sky
311,Juneau,US,-134.4197,58.3019,37.85,96,100,7.0,snow
312,Haines Junction,CA,-137.5108,60.7522,26.55,86,100,2.3,overcast clouds
313,Marsh Harbour,BS,-77.0636,26.5412,73.22,68,35,9.57,scattered clouds
314,Tartagal,AR,-63.8013,-22.5164,67.53,90,100,5.82,overcast clouds
315,Kincardine,GB,-3.7167,56.0667,40.98,91,99,15.46,light rain
316,Abu Dhabi,AE,54.3667,24.4667,66.31,65,0,3.0,clear sky
317,Kholtoson,RU,103.3097,50.2981,7.36,74,65,3.24,broken clouds
318,Road Town,VG,-64.6167,18.4167,72.0,78,91,21.32,overcast clouds
319,Kavaratti,IN,72.642,10.5669,78.01,61,10,5.44,clear sky
320,Colares,PT,-9.4469,38.7992,52.79,66,0,1.01,clear sky
321,Kruisfontein,ZA,24.7314,-34.0033,65.88,94,24,9.55,few clouds
322,Cooma,AU,149.1333,-36.2333,64.17,51,40,5.75,scattered clouds
323,Pasan,IN,82.2,22.85,56.97,34,5,1.74,clear sky
324,Bitung,ID,125.1824,1.4451,88.65,74,100,11.59,overcast clouds
325,Basoko,CD,23.616,1.2391,70.99,74,97,2.95,overcast clouds
326,Tubuala,PA,-79.0333,9.5167,78.33,79,10,12.62,clear sky
327,Bismarck,US,-100.7837,46.8083,36.88,83,0,6.91,clear sky
328,Lensk,RU,114.9278,60.7253,10.18,92,100,3.8,overcast clouds
329,Hjelset,NO,7.4833,62.7833,37.04,93,100,19.57,light snow
330,Ponferrada,ES,-6.5962,42.5466,41.11,85,5,1.99,clear sky
331,Twentynine Palms,US,-116.0542,34.1356,58.86,16,0,4.0,clear sky
332,Pevek,RU,170.3133,69.7008,-26.82,99,29,2.35,scattered clouds
333,Kirensk,RU,108.1119,57.7853,21.76,94,100,10.56,light snow
334,Blyth,GB,-1.5086,55.1271,44.37,81,40,8.01,fog
335,Buin,CL,-70.75,-33.7333,75.74,54,0,1.79,clear sky
336,Nanortalik,GL,-45.2371,60.1432,9.09,61,100,13.27,overcast clouds
337,Sobolevo,RU,31.8996,54.4299,29.95,90,95,13.13,overcast clouds
338,Esperance,AU,121.9,-33.8667,96.64,33,0,11.41,clear sky
339,Broome,US,-75.833,42.2506,6.17,68,19,1.99,few clouds
340,Provideniya,RU,-173.3,64.3833,-2.67,78,0,12.41,clear sky
341,Brae,GB,-1.353,60.3964,39.11,55,88,33.8,overcast clouds
342,Windhoek,NA,17.0832,-22.5594,65.1,77,100,2.3,overcast clouds
343,San Quintin,MX,-115.95,30.4833,56.66,45,0,5.12,clear sky
344,Bathsheba,BB,-59.5167,13.2167,77.61,73,40,11.5,scattered clouds
345,Empangeni,ZA,31.8933,-28.762,68.14,93,60,4.54,broken clouds
346,Molokovo,RU,36.7628,58.1661,7.27,96,94,9.04,overcast clouds
347,Namatanai,PG,152.4333,-3.6667,86.41,63,59,11.59,broken clouds
348,Angol,CL,-72.7167,-37.8,62.76,56,2,5.32,clear sky
